Bowl,ID,Size ,Date,Quads,Count 1,Count 2,Total eggs,Estimated total eggs,Spawned?,Viable Count 1,Viable Count 2,Total inviable eggs,Estimated total unviable eggs,Viability,Date 2,Day 2,Eggs? 2,1,2,Log estimated eggs
1,A,64,4/26/2017,"1,5",89,121,210,1319.85,,77,115,192,1206.72,0.085714286,,,,,,
1,B,59,4/26/2017,"2,6",137,209,346,2174.61,,120,150,270,1696.95,0.219653179,,,,,,
2,A,46,4/26/2017,"3,7",34,29,63,395.955,,46,14,60,377.1,0.047619048,,,,,,
2,B,44,4/26/2017,"4,8",32,51,83,521.655,,19,13,32,201.12,0.614457831,,,,,,
3,A,37,4/26/2017,"1,5",67,95,162,1018.17,,73,76,149,936.465,0.080246914,,,,,,
3,B,34,4/26/2017,"2,6",67,60,127,798.195,,30,42,72,452.52,0.433070866,,,,,,
4,A,41,4/26/2017,"3,7",163,108,271,1703.235,,119,82,201,1263.285,0.258302583,,,,,,
4,B,41,4/26/2017,"4,8",106,71,177,1112.445,,54,41,95,597.075,0.463276836,,,,,,
5,A,49,4/26/2017,"1,5",160,55,215,1351.275,,132,47,179,1125.015,0.16744186,,,,,,
5,B,46,4/26/2017,"2,6",121,135,256,1608.96,,74,87,161,1011.885,0.37109375,,,,,,
6,A,55,4/26/2017,"3,7",332,359,691,4342.935,,302,353,655,4116.675,0.052098408,,,,,,
6,B,53,4/26/2017,"4,8",237,119,356,2237.46,,179,87,266,1671.81,0.252808989,,,,,,
7,A,52,4/26/2017,"1,5",126,164,290,1822.65,,80,159,239,1502.115,0.175862069,,,,,,
7,B,49,4/26/2017,"2,6",98,55,153,961.605,,98,33,131,823.335,0.14379085,,,,,,
8,A,41,5/2/2017,"1,5",80,39,119,747.915,,57,30,87,546.795,0.268907563,,,,,,
8,B,40,5/2/2017,"2,6",73,55,128,804.48,,47,55,102,641.07,0.203125,,,,,,
9,A,55,5/2/2017,"3,7",164,183,347,2180.895,,145,137,282,1772.37,0.187319885,,,,,,
9,B,53,5/2/2017,"4,8",75,81,156,980.46,,44,58,102,641.07,0.346153846,,,,,,
10,A,53,5/2/2017,"1,5",66,104,170,1068.45,,32,32,64,402.24,0.623529412,,,,,,
10,B,46,5/2/2017,"2,6",58,90,148,930.18,,46,55,101,634.785,0.317567568,,,,,,
11,A,45,5/2/2017,"3,7",136,220,356,2237.46,,72,108,180,1131.3,0.494382022,,,,,,
11,B,45,5/2/2017,"4,8",49,49,98,615.93,,10,16,26,163.41,0.734693878,,,,,,
12,A,44,5/2/2017,"1,5",48,71,119,747.915,,23,40,63,395.955,0.470588235,,,,,,
12,B,45,5/2/2017,"2,6",115,74,189,1187.865,,44,62,106,666.21,0.439153439,,,,,,
13,A,42,5/2/2017,"3,7",69,56,125,785.625,,68,56,124,779.34,0.008,,,,,,
13,B,43,5/2/2017,"4,8",74,118,192,1206.72,,30,77,107,672.495,0.442708333,,,,,,
14,A,42,5/4/2017,"1,5",36,18,54,339.39,,27,16,43,270.255,0.203703704,,,,,,
14,B,42,5/4/2017,"2,6",92,140,232,1458.12,,85,89,174,1093.59,0.25,,,,,,
15,A,51,5/4/2017,"3,7",186,148,334,2099.19,,136,137,273,1715.805,0.182634731,,,,,,
15,B,43,5/4/2017,"4,8",55,59,114,716.49,,28,20,48,301.68,0.578947368,,,,,,
16,A,34,5/4/2017,"1,5",48,31,79,496.515,,45,14,59,370.815,0.253164557,,,,,,
16,B,33,5/4/2017,"2,6",59,47,106,666.21,,55,34,89,559.365,0.160377358,,,,,,
17,A,41,5/4/2017,"3,7",77,45,122,766.77,,76,45,121,760.485,0.008196721,,,,,,
17,B,39,5/4/2017,"4,8",55,112,167,1049.595,,46,113,159,999.315,0.047904192,,,,,,
18,A,38,5/4/2017,"1,5",62,60,122,766.77,,60,44,104,653.64,0.147540984,,,,,,
18,B,35,5/4/2017,"2,6",456,40,496,3117.36,,80,24,104,653.64,0.790322581,,,,,,
19,A,43,5/4/2017,"3,7",125,98,223,1401.555,,93,70,163,1024.455,0.269058296,,,,,,
19,B,43,5/4/2017,"4,8",21,65,86,540.51,,13,52,65,408.525,0.244186047,,,,,,
20,A,32,5/9/2017,"1,5",57,13,70,439.95,,7,0,7,43.995,0.9,,,,,,
20,B,31,5/9/2017,"2,6",42,58,100,628.5,,40,42,82,515.37,0.18,,,,,,
21,A,37,5/9/2017,"3,7",11,6,17,106.845,,6,4,10,62.85,0.411764706,,,,,,
21,B,35,5/9/2017,"4,8",5,4,9,56.565,,3,3,6,37.71,0.333333333,,,,,,
22,A,39,5/9/2017,"1,5",44,31,75,471.375,,37,45,82,515.37,-0.093333333,,,,,,
22,B,37,5/9/2017,"2,6",1,0,1,6.285,,2,0,2,12.57,0,,,,,,
23,A,35,5/9/2017,"3,7",11,21,32,201.12,,8,8,16,100.56,0.5,,,,,,
23,B,32,5/9/2017,"4,8",5,2,7,43.995,,3,2,5,31.425,0.285714286,,,,,,
24,A,40,5/9/2017,"1,5",32,23,55,345.675,,14,2,16,100.56,0.709090909,,,,,,
24,B,37,5/9/2017,"2,6",19,32,51,320.535,,9,9,18,113.13,0.647058824,,,,,,
25,A,34,5/9/2017,"3,7",23,5,28,175.98,,16,5,21,131.985,0.25,,,,,,
25,B,33,5/9/2017,"4,8",6,22,28,175.98,,4,2,6,37.71,0.785714286,,,,,,
26,A,42,5/9/2017,"1,5",31,32,63,395.955,,5,3,8,50.28,0.873015873,,,,,,
26,B,41,5/9/2017,"2,6",29,45,74,465.09,,5,12,17,106.845,0.77027027,,,,,,
