Arena Type,Absolute proportional difference
Sealed,0.244604317
Sealed,0.136986301
Sealed,0.121107266
Sealed,0.209821429
Sealed,0.087048832
Sealed,0.319961796
Sealed,0.309255079
Sealed,0.036437247
Sealed,0.37972167
Sealed,0.06918239
Sealed,0.568281938
Sealed,0.227272727
Sealed,0.211356467
Sealed,0.622377622
Sealed,0.491071429
Sealed,0.145945946
Sealed,0.155709343
Sealed,0.605177994
Sealed,0.443365696
Sealed,0.176470588
Sealed,0.307692308
Sealed,0.973684211
Sealed,0.641025641
Sealed,0.037735849
Sealed,0
Sealed,0.080291971
Perm,0.926362298
Perm,0.607954546
Perm,0.43006993
Perm,0.592920354
Perm,0.046454768
Perm,0.890410958
Perm,0.668874172
Perm,0.523874026
Perm,0.3003861
Perm,0.908433734
Perm,0.36646786
Perm,1
Perm,1
Perm,0.52
Perm,0.92199688
Perm,0.154958678
Perm,0.793650794
Perm,1
Perm,0.265497076
Perm,0.550684932
Perm,0.410557184
Perm,0.658682634
Perm,0.823321554
Perm,0.73275862
Perm,0.175824176
Perm,0.500685872
Solitary matched,0.1875
Solitary matched,0.984375
Solitary matched,0.076923077
Solitary matched,0.238095238
Solitary matched,0.588235294
Solitary matched,0.835051546
Solitary matched,1
Solitary matched,0.274193548
Solitary matched,0.152941176
Solitary matched,0.538461538
Solitary matched,0
Solitary matched,0.157894737
Solitary matched,0.920529801
Solitary matched,0.133333333
